TrainCode,TrainDate,TrainOrigin,TrainDestination,scheduled_hour,scheduled_minute,day_of_week,arrival_delay_minutes
D913,04 Apr 2025,Dublin Connolly,Maynooth,0,0,4,683.6
P746,03 Apr 2025,Maynooth,Dublin Connolly,10,53,3,1.7
A606,03 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,3,810.1
E259,03 Apr 2025,Malahide,Bray,21,29,3,-2.5
E260,03 Apr 2025,Malahide,Bray,21,59,3,-1.1
A910,03 Apr 2025,Dublin Connolly,Sligo,0,0,3,940.4
P745,03 Apr 2025,Maynooth,Dublin Connolly,9,24,3,-1.6
A909,03 Apr 2025,Sligo,Dublin Connolly,16,27,3,4.1
D914,03 Apr 2025,Dublin Connolly,Maynooth,0,0,3,713.9
A908,03 Apr 2025,Dublin Connolly,Sligo,0,0,3,851.9
A911,03 Apr 2025,Sligo,Dublin Connolly,18,18,3,5.9
A906,03 Apr 2025,Dublin Connolly,Sligo,0,0,3,763.6
P744,03 Apr 2025,Maynooth,Dublin Connolly,8,33,3,-3.1
D913,03 Apr 2025,Dublin Connolly,Maynooth,0,0,3,686.0
P746,02 Apr 2025,Maynooth,Dublin Connolly,10,53,2,1.5
A606,02 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,2,808.1
E259,02 Apr 2025,Malahide,Bray,21,29,2,-0.9
E260,02 Apr 2025,Malahide,Bray,21,59,2,1.9
A910,02 Apr 2025,Dublin Connolly,Sligo,0,0,2,958.0
P745,02 Apr 2025,Maynooth,Dublin Connolly,9,24,2,-1.3
A909,02 Apr 2025,Sligo,Dublin Connolly,16,27,2,-1.3
D914,02 Apr 2025,Dublin Connolly,Maynooth,0,0,2,713.5
A908,02 Apr 2025,Dublin Connolly,Sligo,0,0,2,851.3
A911,02 Apr 2025,Sligo,Dublin Connolly,18,18,2,5.8
A906,02 Apr 2025,Dublin Connolly,Sligo,0,0,2,743.0
P744,02 Apr 2025,Maynooth,Dublin Connolly,8,33,2,-2.7
D913,02 Apr 2025,Dublin Connolly,Maynooth,0,0,2,684.2
P746,01 Apr 2025,Maynooth,Dublin Connolly,10,53,1,1.4
A606,01 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,1,805.8
E259,01 Apr 2025,Malahide,Bray,21,29,1,-2.0
E260,01 Apr 2025,Malahide,Bray,21,59,1,0.6
A910,01 Apr 2025,Dublin Connolly,Sligo,0,0,1,956.2
P745,01 Apr 2025,Maynooth,Dublin Connolly,9,24,1,4.6
A909,01 Apr 2025,Sligo,Dublin Connolly,16,27,1,1.0
D914,01 Apr 2025,Dublin Connolly,Maynooth,0,0,1,717.2
A908,01 Apr 2025,Dublin Connolly,Sligo,0,0,1,851.0
A911,01 Apr 2025,Sligo,Dublin Connolly,18,18,1,3.2
A906,01 Apr 2025,Dublin Connolly,Sligo,0,0,1,777.6
P744,01 Apr 2025,Maynooth,Dublin Connolly,8,33,1,5.9
D913,01 Apr 2025,Dublin Connolly,Maynooth,0,0,1,684.0
P746,31 Mar 2025,Maynooth,Dublin Connolly,10,53,0,1.0
A606,31 Mar 2025,Dublin Connolly,Rosslare Europort,0,0,0,807.8
E259,31 Mar 2025,Malahide,Bray,21,29,0,1.0
E260,31 Mar 2025,Malahide,Bray,21,59,0,-1.4
A910,31 Mar 2025,Dublin Connolly,Sligo,0,0,0,913.3
P745,31 Mar 2025,Maynooth,Dublin Connolly,9,24,0,-1.7
A909,31 Mar 2025,Sligo,Dublin Connolly,16,27,0,1.3
D914,31 Mar 2025,Dublin Connolly,Maynooth,0,0,0,714.3
A908,31 Mar 2025,Dublin Connolly,Sligo,0,0,0,848.7
A911,31 Mar 2025,Sligo,Dublin Connolly,18,18,0,4.8
A906,31 Mar 2025,Dublin Connolly,Sligo,0,0,0,769.8
P744,31 Mar 2025,Maynooth,Dublin Connolly,8,33,0,-0.7
D913,31 Mar 2025,Dublin Connolly,Maynooth,0,0,0,682.6
P746,30 Mar 2025,Maynooth,Dublin Connolly,16,54,6,-0.3
A606,30 Mar 2025,Dublin Connolly,Rosslare Europort,0,0,6,824.5
A910,30 Mar 2025,Dublin Connolly,Sligo,0,0,6,936.2
P745,30 Mar 2025,Maynooth,Dublin Connolly,16,27,6,3.5
A909,30 Mar 2025,Sligo,Dublin Connolly,16,13,6,0.1
D914,30 Mar 2025,Dublin Connolly,Maynooth,0,0,6,922.9
A908,30 Mar 2025,Dublin Connolly,Sligo,0,0,6,849.8
A911,30 Mar 2025,Sligo,Dublin Connolly,18,20,6,4.0
A906,30 Mar 2025,Dublin Connolly,Sligo,0,0,6,738.5
P744,30 Mar 2025,Maynooth,Dublin Connolly,15,54,6,-1.6
D913,30 Mar 2025,Dublin Connolly,Maynooth,0,0,6,898.0
P746,29 Mar 2025,Maynooth,Dublin Connolly,10,22,5,0.3
A606,29 Mar 2025,Dublin Connolly,Rosslare Europort,0,0,5,828.8
A910,29 Mar 2025,Dublin Connolly,Sligo,0,0,5,908.2
P745,29 Mar 2025,Maynooth,Dublin Connolly,9,55,5,-2.2
A909,29 Mar 2025,Sligo,Dublin Connolly,16,11,5,8.8
D914,29 Mar 2025,Dublin Connolly,Maynooth,0,0,5,747.2
A908,29 Mar 2025,Dublin Connolly,Sligo,0,0,5,853.9
A911,29 Mar 2025,Sligo,Dublin Connolly,18,18,5,8.6
A906,29 Mar 2025,Dublin Connolly,Sligo,0,0,5,729.2
P744,29 Mar 2025,Maynooth,Dublin Connolly,9,32,5,-1.6
D913,29 Mar 2025,Dublin Connolly,Maynooth,0,0,5,713.1
P746,28 Mar 2025,Maynooth,Dublin Connolly,10,53,4,5.3
A606,28 Mar 2025,Dublin Connolly,Rosslare Europort,0,0,4,807.4
E259,28 Mar 2025,Malahide,Bray,21,29,4,6.0
E260,28 Mar 2025,Malahide,Bray,21,59,4,-1.3
A910,28 Mar 2025,Dublin Connolly,Sligo,0,0,4,860.4
P745,28 Mar 2025,Maynooth,Dublin Connolly,9,24,4,-1.6
A909,28 Mar 2025,Sligo,Dublin Connolly,16,27,4,0.6
D914,28 Mar 2025,Dublin Connolly,Maynooth,0,0,4,713.4
A908,28 Mar 2025,Dublin Connolly,Sligo,0,0,4,862.4
A911,28 Mar 2025,Sligo,Dublin Connolly,18,18,4,21.1
